Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;gprstext;edge;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;displayother;memoryslot;cam1modules;wlan;bluetooth;gps;radio;usb;sensors;featuresother;batdescription1;batstandby1;battalktime1;colors;net3g;net4g;speed;bodyother;displayprotection;os;chipset;cpu;gpu;internalmemory;cam1features;cam1video;cam2modules;cam2video;nfc;price;sar-us;sar-eu;build;memoryother;optionalother;cam2features;models;net5g;tbench;batlife;batmusicplayback1
https://www.gsmarena.com/kyocera_duraforce_pro_2-9407.php;https://fdn2.gsmarena.com/vv/bigpic/kyocera-duraforce-pro2.jpg;Kyocera DuraForce Pro 2;Released 2018, November;243g, 13.5mm thickness;Android 8.0;64GB storage, microSDXC;31;0.3%;170,824 hits;"5.0""";1080x1920 pixels;4 GB RAM;Snapdragon 630;3240 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;;;2018, November;Available. Released 2018, November;150.2 x 73.4 x 13.5 mm (5.91 x 2.89 x 0.53 in);243 g (8.25 oz);Nano-SIM;IPS LCD;5.0 inches, 68.9 cm(~62.5% screen-to-body ratio);1080 x 1920 pixels, 16:9 ratio (~441 ppi density);;XC (dedicated slot);"13 MP, AF8 MP (ultra wide; dedicated video camera)";Wi-Fi 802.11 a/b/g/n/ac/i/r/k, dual-band, Wi-Fi Direct, hotspot;5.0, A2DP, LE;Yes, with A-GPS;No;USB Type-C 3.1;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer;;Li-Ion 3240 mAh, non-removable;Up to 312 h (3G);Up to 21 h (3G);Black;HSDPA 850 / 900 / 1900 / 2100;1, 2, 3, 4, 5, 7, 13, 66;HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat9 450/50 Mbps;IP68 dust/water resistant (up to 2m for 30 mins)MIL-STD-810G compliantPush-to-talk button;Sapphire crystal glass;Android 8.0 (Oreo);Qualcomm SDM630 Snapdragon 630 (14 nm);Octa-core 2.2 GHz Cortex-A53;Adreno 508;64GB 4GB RAM;LED flash, HDR, panorama;4K@30fps, 1080p@30fps;5 MP;;Yes;About 444 USD;;;;;;;;;;;
https://www.gsmarena.com/kyocera_duraforce_pro-8268.php;https://fdn2.gsmarena.com/vv/bigpic/kyocera-duraforce-pro.jpg;Kyocera DuraForce Pro;Released 2016, October;230g, 12.9mm thickness;Android 6.0;32GB storage, microSDXC;19;0.2%;353,412 hits;"5.0""";1080x1920 pixels;3 GB RAM;Snapdragon 617;3240 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;;;2016, August;Available. Released 2016, October;148.4 x 73.4 x 12.9 mm (5.84 x 2.89 x 0.51 in);230 g (8.11 oz);Nano-SIM;IPS LCD;5.0 inches, 68.9 cm(~63.3% screen-to-body ratio);1080 x 1920 pixels, 16:9 ratio (~441 ppi density);;XC (dedicated slot);13 MP, AF2 MP;Wi-Fi 802.11 a/b/g/n/ac/i/r/k, dual-band, Wi-Fi Direct, hotspot;4.2, A2DP, LE;Yes, with A-GPS;No;microUSB 2.0;Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer;;Li-Ion 3240 mAh, non-removable;Up to 480 h (3G);Up to 19 h (3G);Black;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;2, 4, 5, 12, 25, 26, 41;HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps;IP68 dust/water resistant (up to 1.5m for 30 mins)MIL-STD-810G compliantPush-to-talk button;Yes;Android 6.0 (Marshmallow);Qualcomm MSM8952 Snapdragon 617 (28 nm);Octa-core (4x1.5 GHz Cortex-A53 & 4x1.2 GHz Cortex-A53);Adreno 405;32GB 3GB RAM;LED flash, HDR, panorama;1080p@30fps;5 MP;;Yes;;;;;eMMC 5.1;;;E6810;;;;
https://www.gsmarena.com/leeco_le_pro_3_ai_edition-8275.php;https://fdn2.gsmarena.com/vv/bigpic/leeco-le-pro-3-ai-edition.jpg;LeEco Le Pro 3 AI Edition;Released 2017, April;168g, 7.5mm thickness;Android 6.0, eUI 5.9;32GB/64GB storage, no card slot;46;0.2%;749,469 hits;"5.5""";1080x1920 pixels;4 GB RAM;Helio X23;4000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;;;2017, April;Available. Released 2017, April;152.4 x 75.1 x 7.5 mm (6.00 x 2.96 x 0.30 in);168 g (5.93 oz);Dual SIM (Nano-SIM, dual stand-by);IPS LCD;5.5 inches, 83.4 cm(~72.9% screen-to-body ratio);1080 x 1920 pixels, 16:9 ratio (~401 ppi density);;No;13 MP, f/2.0, PDAF, Laser AF;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot;4.2, A2DP, LE;Yes, with A-GPS, GLONASS, BDS;No;USB Type-C;Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass;;Li-Ion 4000 mAh, non-removable;;;Rose gold, gold, black;HSDPA 850 / 900 / 1900 / 2100;1, 3, 7, 38, 39, 40, 41;HSPA 42.2/5.76 Mbps, LTE;;;Android 6.0 (Marshmallow), eUI 5.9;Mediatek MT6797D Helio X23 (20 nm) - StandardMediatek MT6797X Helio X27 (20 nm) - Eco Edition;Deca-core x2.3 GHz - StandardDeca-core x2.6 GHz - Eco Edition;Mali-T880 MP4;32GB 4GB RAM (Standard), 64GB 4GB RAM (Eco);Dual-LED dual-tone flash, panorama, HDR;4K@30fps, 1080p@30fps, 720p@120fps;"8 MP, f/2.2, 1/3.2"", 1.4µm";1080p@30fps;Yes;About 280 EUR;;;;;;;LEX653, LEX651, LEX650;;;;
https://www.gsmarena.com/leeco_le_pro3_elite-8614.php;https://fdn2.gsmarena.com/vv/bigpic/leeco-le-pro3-elite.jpg;LeEco Le Pro3 Elite;Released 2017, March;175g, 7.5mm thickness;Android 6.0, eUI 5.8;32GB/64GB/128GB storage, no card slot;34;0.1%;414,256 hits;"5.5""";1080x1920 pixels;4/6 GB RAM;Snapdragon 820;4070 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;;;2017, March;Available. Released 2017, March;151.4 x 73.9 x 7.5 mm (5.96 x 2.91 x 0.30 in);175 g (6.17 oz);Dual SIM (Nano-SIM, dual stand-by);IPS LCD;5.5 inches, 83.4 cm(~74.5% screen-to-body ratio);1080 x 1920 pixels, 16:9 ratio (~401 ppi density);;No;"16 MP, f/2.0, 1/2.8"", 1.12µm, PDAF";Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot;4.2, A2DP, LE;Yes, with A-GPS, GLONASS, BDS;FM radio;USB Type-C;Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass;;Li-Ion 4070 mAh, non-removable;;;Rose gold, gold, silver, gray;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 20, 38, 39, 40, 41;HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat12 600/150 Mbps;;;Android 6.0 (Marshmallow), eUI 5.8;Qualcomm MSM8996 Snapdragon 820 (14 nm);Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo);Adreno 530;32GB 4GB RAM, 64GB 6GB RAM, 128GB 6GB RAM;Dual-LED dual-tone flash, panorama, HDR;4K@30fps, 1080p@30fps, 720p@120fps;"8 MP, f/2.2, 1/3.2"", 1.4µm";;No;About 280 EUR;;;;;;;LEX722;;;;
https://www.gsmarena.com/lg_k92_5g-10564.php;https://fdn2.gsmarena.com/vv/bigpic/lg-k92-5g.jpg;LG K92 5G;Released 2020, November 06;202.4g, 8.4mm thickness;Android 10;128GB storage, microSDXC;22;15%;80,162 hits;"6.7""";1080x2400 pixels;6 GB RAM;Snapdragon 690 5G;4000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;;;2020, September 29;Available. Released 2020, November 06;166.4 x 77.2 x 8.4 mm (6.55 x 3.04 x 0.33 in);202.4 g (7.13 oz);Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.7 inches, 108.4 cm(~84.4% screen-to-body ratio);1080 x 2400 pixels, 20:9 ratio (~393 ppi density);;XC;"64 MP, f/1.8, 25mm (wide), 1/1.97"", 0.7µm, PDAF5 MP, f/2.2, 115˚ (ultrawide), 1/5.0"", 1.12µm2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)";Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot;5.1, A2DP, LE;Yes, with A-GPS, GLONASS, GALILEO;No;USB Type-C 3.1;Fingerprint (side-mounted), accelerometer, proximity, compass;;Li-Po 4000 mAh, non-removable;;;Titan Gray;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;LTE (unspecified);HSPA 42.2/5.76 Mbps, LTE-A, 5G;;;Android 10;Qualcomm SM6350 Snapdragon 690 5G (8 nm);Octa-core (2x2.0 GHz Kryo 560 Gold & 6x1.7 GHz Kryo 560 Silver);Adreno 619L;128GB 6GB RAM;Quad-LED flash, panorama, HDR;4K@30fps, 1080p@30fps;16 MP, f/2.0, 27mm (wide), 1/3.06, 1.0µm;1080p@30fps;Yes;About 340 EUR;;;;;;;LMK920, LM-K920;SA/NSA/Sub6;;;
https://www.gsmarena.com/lg_k62-10464.php;https://fdn2.gsmarena.com/vv/bigpic/lg-k62.jpg;LG K62;Exp. release 2020, November;186g, 8.4mm thickness;Android 10;128GB storage, microSDXC;15;2.6%;122,367 hits;"6.6""";1080x2400 pixels;4 GB RAM;Helio P35;4000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;;;2020, September 23;Coming soon. Exp. release 2020, November;165 x 76.7 x 8.4 mm (6.50 x 3.02 x 0.33 in);186 g (6.56 oz);Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.6 inches, 105.2 cm(~83.1% screen-to-body ratio);1080 x 2400 pixels, 20:9 ratio (~399 ppi density);;microSDXC;"48 MP, f/1.8, (wide), 1/2.0"", 0.8µm, PDAF5 MP, f/2.2, 115˚ (ultrawide), 1/5.0"", 1.12µm2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)";Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot;5.0, A2DP, LE;Yes, with A-GPS;No;USB Type-C 3.1;Fingerprint (side-mounted), accelerometer, proximity, compass;;Li-Po 4000 mAh, non-removable;;;White, Sky Blue;HSDPA 850 / 900 / 1900 / 2100;LTE (unspecified);HSPA 42.2/5.76 Mbps, LTE;MIL-STD-810G compliant**does not guarantee ruggedness or use in extreme conditions;;Android 10;Mediatek MT6765 Helio P35 (12nm);Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53);PowerVR GE8320;128GB 4GB RAM;Dual-LED flash, panorama, HDR;1080p@30fps;28 MP, (wide);1080p@30fps;Yes;;;;;;;;;;;;
https://www.gsmarena.com/lg_k8_(2018)-9073.php;https://fdn2.gsmarena.com/vv/bigpic/lg-k8-2018-.jpg;LG K8 (2018);Released 2018, June;152g, 8.2mm thickness;Android 7.1.2;16GB/32GB storage, microSDHC;12;0.2%;371,318 hits;"5.0""";720x1280 pixels;2 GB RAM;Snapdragon 210;2500 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only);;;2018, February;Available. Released 2018, June;146.3 x 73.2 x 8.2 mm (5.76 x 2.88 x 0.32 in);152 g (5.36 oz);Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by);S-IPS LCD;5.0 inches, 68.9 cm(~64.4% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~294 ppi density);;HC;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot;4.2, A2DP, LE;Yes, with A-GPS, GLONASS;FM radio;microUSB 2.0, USB On-The-Go;Accelerometer, proximity;;Li-Ion 2500 mAh, removable;;;Aurora Black, Moroccan Blue, Terra Gold;HSDPA 850 / 900 / 2100;1, 3, 7, 8, 20;HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps;;Corning Gorilla Glass 3;Android 7.1.2 (Nougat);Qualcomm MSM8909 Snapdragon 210 (28 nm) - GlobalQualcomm MSM8917 Snapdragon 425 (28 nm) - USA;Quad-core 1.3 GHz Cortex-A7Quad-core 1.4 GHz Cortex-A53;Adreno 304Adreno 308;16GB 2GB RAM, 32GB 2GB RAM;LED flash, HDR;720p@30fps (Global), 1080p@30fps (USA);;;No;About 140 EUR;;;Glass front (Gorilla Glass 3), plastic back, plastic frame;eMMC 5.1 or eMMC 4.5;;;X210;;;;
https://www.gsmarena.com/lg_aristo_2-9047.php;https://fdn2.gsmarena.com/vv/bigpic/lg-aristo2.jpg;LG Aristo 2;Released 2018, January;139g, 8.1mm thickness;Android 7.1.2;16GB storage, microSDHC;21;0.2%;380,731 hits;"5.0""";720x1280 pixels;2 GB RAM;Snapdragon 425;2410 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;;;2018, January;Available. Released 2018, January;144.8 x 71.9 x 8.1 mm (5.70 x 2.83 x 0.32 in);139 g (4.90 oz);Nano-SIM;IPS LCD;5.0 inches, 68.9 cm(~66.2% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~294 ppi density);;HC;"13 MP, f/2.2, 1/3.1"", 1.12µm, PDAF";Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot;4.2, A2DP, LE;Yes, with A-GPS, S-GPS;FM radio;microUSB 2.0;Accelerometer, proximity;;Li-Ion 2410 mAh, removable;;;Titan;HSDPA 850 / 1700(AWS) / 1900;2, 4, 5, 12, 66;HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps;;;Android 7.1.2 (Nougat);Qualcomm MSM8917 Snapdragon 425 (28 nm);Quad-core 1.4 GHz Cortex-A53;Adreno 308;16GB 2GB RAM;LED flash, panorama;1080p@30fps;"5 MP, f/2.4, 1/5"", 1.12µm";;No;About 60 USD;;;Glass front, plastic back, plastic frame;eMMC 5.1;;;LM-X210, LM-X210(G), M210, LM-X210VPP;;;;
https://www.gsmarena.com/lg_g360-7345.php;https://fdn2.gsmarena.com/vv/bigpic/lg-g360.jpg;LG G360;Released 2015, July;125g, 19.5mm thickness;Feature phone;32MB 8MB RAM storage, microSDHC slot;14;N/A;288,137 hits;"3.0""";240x320 pixels;8 MB RAM;;950 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;Yes;Yes;2015, June. Released 2015, July;Discontinued;108 x 58 x 19.5 mm (4.25 x 2.28 x 0.77 in);125 g (4.41 oz);Dual SIM;TFT;3.0 inches, 27.9 cm(~44.5% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~133 ppi density);;HC (dedicated slot);1.3 MP;No;2.1, EDR;No;FM radio;microUSB 1.1;;MP3/MP4/AAC/H.263 playerOraganizerPhoto viewerPredictive text input;Li-Ion 950 mAh, removable;Up to 470 h;Up to 20 h;Wine Red;;;;;;;;;;32MB 8MB RAM;;Yes;No;;No;About 110 EUR;;;;;;;;;;;
https://www.gsmarena.com/lg_g350-7344.php;https://fdn2.gsmarena.com/vv/bigpic/lg-g350.jpg;LG G350;Released 2015, July;125g, 19.5mm thickness;Feature phone;32MB 8MB RAM storage, microSDHC slot;28;N/A;222,667 hits;"3.0""";240x320 pixels;8 MB RAM;;950 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;Yes;Yes;2015, May. Released 2015, July;Discontinued;108 x 58 x 19.5 mm (4.25 x 2.28 x 0.77 in);125 g (4.41 oz);Micro-SIM;TFT;3.0 inches, 27.9 cm(~44.5% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~133 ppi density);;HC (dedicated slot);1.3 MP;Wi-Fi 802.11 b/g;2.1, EDR;No;FM radio;microUSB 1.1;;MP3/MP4/AAC/H.263 playerOraganizerPhoto viewerPredictive text input;Li-Ion 950 mAh, removable;Up to 470 h;Up to 20 h;Titan;;;;;;;;;;32MB 8MB RAM;;Yes;No;;No;About 100 EUR;;0.52 W/kg (head)     0.72 W/kg (body);;;;;;;;;
https://www.gsmarena.com/lg_l45_dual_x132-7062.php;https://fdn2.gsmarena.com/vv/bigpic/lg-l45.jpg;LG L45 Dual X132;Released 2014;12mm thickness;Android 4.4.2;4GB 512MB RAM storage, microSDHC slot;2;N/A;80,370 hits;"3.5""";320x480 pixels;512 MB RAM;;1540 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;;;2014. Released 2014;Discontinued;109 x 59.9 x 12 mm (4.29 x 2.36 x 0.47 in);-;Dual SIM (Micro-SIM, dual stand-by);TFT;3.5 inches, 36.5 cm(~55.9% screen-to-body ratio);320 x 480 pixels, 3:2 ratio (~165 ppi density);;HC (dedicated slot);5 MP;Wi-Fi 802.11 b/g/n, hotspot;4.0, A2DP;A-GPS;FM radio, RDS;microUSB 2.0;Accelerometer;;Li-Ion 1540 mAh, removable;;;White, Black;HSDPA 900 / 2100;;HSPA 21.1/5.76 Mbps;;;Android 4.4.2 (KitKat);;Dual-core 1.0 GHz;;4GB 512MB RAM;LED flash, panorama;320p@30fps;VGA;;No;;;;;;;;;;;;
https://www.gsmarena.com/lg_l40_d160-6286.php;https://fdn2.gsmarena.com/vv/bigpic/lg-l40-d160.jpg;LG L40 D160;Released 2014, April;114g, 11.9mm thickness;Android 4.4.2, LG UI 3;4GB 512MB RAM storage, microSDHC slot;19;N/A;474,320 hits;"3.5""";320x480 pixels;512 MB RAM;Snapdragon 200;1700 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;;;2014, February. Released 2014, April;Discontinued;109.4 x 59 x 11.9 mm (4.31 x 2.32 x 0.47 in);114 g (4.02 oz);Mini-SIM;IPS LCD;3.5 inches, 36.5 cm(~56.5% screen-to-body ratio);320 x 480 pixels, 3:2 ratio (~165 ppi density);;HC (dedicated slot);3.15 MP;Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot;4.0, A2DP, EDR;A-GPS only;FM radio, RDS;microUSB;Accelerometer;;Li-Ion 1540 mAh, removable;Up to 550 h (2G) / Up to 550 h (3G);Up to 14 h (2G) / Up to 11 h (3G);White, Black;HSDPA 900 / 2100;;HSPA 14.4/5.76 Mbps;;Corning Gorilla Glass 2;Android 4.4.2 (KitKat), LG UI 3;Qualcomm MSM8210 Snapdragon 200 (28 nm);Dual-core 1.2 GHz Cortex-A7;Adreno 302;4GB 512MB RAM;;480p;No;;No;About 80 EUR;1.29 W/kg (head)     1.08 W/kg (body);1.12 W/kg (head)     0.79 W/kg (body);;eMMC 4.5;;;;;;;
https://www.gsmarena.com/lg_optimus_elite_ls696-4749.php;https://fdn2.gsmarena.com/vv/bigpic/lg-elite-ls696.jpg;LG Optimus Elite LS696;Released 2012, May;120g, 10mm thickness;Android 2.3.7;4GB 512MB RAM storage, microSDHC slot;14;N/A;357,506 hits;"3.5""";320x480 pixels;512 MB RAM;Snapdragon S2;1520 mAh Li-Ion;CDMA 800 / 1900;;;2012, May. Released 2012, May;Discontinued;117 x 63 x 10 mm (4.61 x 2.48 x 0.39 in);120 g (4.23 oz);Mini-SIM;TFT;3.5 inches, 36.5 cm(~49.5% screen-to-body ratio);320 x 480 pixels, 3:2 ratio (~165 ppi density);;HC (dedicated slot);5 MP, AF;Wi-Fi 802.11 b/g/n, hotspot;3.0, A2DP;Yes, with A-GPS;No;microUSB 2.0;Accelerometer, proximity, compass;MP4/H.264/WMV playerMP3/WAV/WMA/eAAC+ playerDocument viewerOrganizerVoice memo/dialPredictive text input;Removable Li-Ion 1520 mAh battery;;Up to 7 h 20 min;Silver, white;CDMA2000 1xEV-DO;;EV-DO Rev.A 3.1 Mbps;;;Android 2.3.7 (Gingerbread);Qualcomm MSM8655 Snapdragon S2;800 MHz;Adreno 205;4GB 512MB RAM;LED flash;Yes;No;;Yes;About 110 EUR;;;;;;;;;;;
https://www.gsmarena.com/lg_t370_cookie_smart-4702.php;https://fdn2.gsmarena.com/vv/bigpic/lg-cookie-smart-t370.jpg;LG T370 Cookie Smart;Released 2012, July;95.6g, 10.7mm thickness;Feature phone;50MB 128MB ROM 64MB RAM storage, microSDHC slot;15;N/A;219,983 hits;"3.2""";240x320 pixels; ;;950 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;Class 12;Yes;2012, May. Released 2012, July;Discontinued;103 x 59 x 10.7 mm (4.06 x 2.32 x 0.42 in);95.6 g (3.35 oz);Dual SIM (Mini-SIM);TFT, 256K colors;3.2 inches, 31.7 cm(~52.2% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~125 ppi density);;HC (dedicated slot);2 MP;No;2.1, A2DP;No;Stereo FM radio, recording;2.0;;SNS applicationsMP4/H.263 playerMP3/AAC+ playerOrganizerDocument viewerVoice memoPredictive text input;Removable Li-Ion 950 mAh battery;Up to 528 h;Up to 14 h 40 min;Black, White, Red;;;;;;;;;;50MB 128MB ROM 64MB RAM;;QCIF@15fps;No;;;About 150 EUR;0.85 W/kg (head)     0.93 W/kg (body);0.72 W/kg (head);;;;;;;;;
https://www.gsmarena.com/lg_a100-3952.php;https://fdn2.gsmarena.com/vv/bigpic/lg-a100-new.jpg;LG A100;Released 2011, Q2;58g, 13mm thickness;Feature phone;No card slot;6;N/A;193,843 hits;"1.5""";128x128 pixels; ;;950 mAh Li-Ion;GSM 900 / 1800;No;No;2011, May. Released 2011, Q2;Discontinued;104 x 43.7 x 13 mm (4.09 x 1.72 x 0.51 in);58 g (2.05 oz);Mini-SIM;TFT, 65K colors;1.5 inches, 7.3 cm(~16.0% screen-to-body ratio);128 x 128 pixels, 1:1 ratio (~121 ppi density);;No;No;No;No;No;No;No;;;Removable Li-Ion 950 mAh battery;Up to 250 h;Up to 4 h;Dark Grey, Brown White, Black;;;;Flashlight;;;;;;;;;;;;About 30 EUR;;;;;;;;;;;
https://www.gsmarena.com/lg_optimus_big_lu6800-3937.php;https://fdn2.gsmarena.com/vv/bigpic/lg-optimus-big-lu6800-white.jpg;LG Optimus Big LU6800;Released 2011, April;151g, 10.1mm thickness;Android 2.2, up to 2.3;16GB storage, microSDHC;12;N/A;429,560 hits;"4.3""";480x800 pixels; ;TI OMAP 3630;1500 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;;;2011, April. Released 2011, April;Discontinued;132 x 67.3 x 10.1 mm (5.20 x 2.65 x 0.40 in);151 g (5.33 oz);Mini-SIM;IPS LCD;4.3 inches, 52.6 cm(~59.2% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~217 ppi density);;HC (dedicated slot);5 MP, AF;Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot;3.0, A2DP, EDR;Yes, with A-GPS;;microUSB 2.0;Accelerometer, proximity, compass;DMB U+ TVHDMI outputMP4/H.264/WMV playerMP3/WAV/WMA/eAAC+ playerDocument viewerOrganizerVoice memo/dial/commandsPredictive text input;Removable Li-Ion 1500 mAh battery;Up to 200 h;Up to 4 h;Black;HSDPA 2100;;HSPA;;Corning Gorilla Glass;Android 2.2 (Froyo), upgradable to 2.3 (Gingerbread);TI OMAP 3630;1.0 GHz Cortex-A8;PowerVR SGX530;16GB;LED flash;720p;Yes;;;About 210 EUR;;;;;;;;;;;
https://www.gsmarena.com/lg_cookie_lite_t300-3412.php;https://fdn2.gsmarena.com/vv/bigpic/lg-wink-t300.jpg;LG Cookie Lite T300;Released 2010, September;77g, 11.9mm thickness;Feature phone;20MB storage, microSDHC slot;16;N/A;955,355 hits;"2.4""";240x320 pixels; ;;900 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;Class 10;Class 10;2010, August. Released 2010, September;Discontinued;95.8 x 50.5 x 11.9 mm (3.77 x 1.99 x 0.47 in);77 g (2.72 oz);Mini-SIM;TFT resistive touchscreen, 256K colors;2.4 inches, 17.8 cm(~36.9% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~167 ppi density);Cartoon UIHandwriting recognition;HC (dedicated slot);1.3 MP;No;2.1, A2DP;No;Stereo FM radio, RDS;microUSB 2.0;;SNS integrationMP3/eAAC+/WAV playerMP4/H.264 playerOrganizerVoice memoPredictive text input;Removable Li-Ion 900 mAh battery;Up to 500 h;Up to 8 h;Black&Red, White&Organge, Black&Titan Silver, Pink&White;;;;;;;;;;20MB;;QCIF@15fps;No;;;About 60 EUR;1.25 W/kg (head)     1.19 W/kg (body);1.19 W/kg (head)     1.50 W/kg (body);;;;;;;;;
https://www.gsmarena.com/lg_c105-3444.php;https://fdn2.gsmarena.com/vv/bigpic/lg-c105.jpg;LG C105;Released 2010, Q4;94g, 13mm thickness;Feature phone;7MB storage, microSDHC slot;13;N/A;406,962 hits;"2.2""";176x220 pixels; ;;950 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;Class 12;Class 10;2010, July. Released 2010, Q4;Discontinued;114.5 x 59 x 13 mm (4.51 x 2.32 x 0.51 in);94 g (3.32 oz);Mini-SIM;TFT, 256K colors;2.2 inches, 15.2 cm(~22.5% screen-to-body ratio);176 x 220 pixels (~128 ppi density);;HC (dedicated slot);1.3 MP;No;2.1, A2DP;No;FM radio, recording;microUSB 2.0;;SNS integrationFacebook, Twitter appsMSN MessengerWeather widgetMP3/eAAC+ playerOrganizerVoice memo;Removable Li-Ion 950 mAh battery;Up to 600 h;Up to 9 h;Black, Silver, White, Blue, Red, Orange, Green;;;;;;;;;;7MB;;QCIF@15fps;No;;;About 60 EUR;0.71 W/kg (head)     0.49 W/kg (body);0.91 W/kg (head)     0.60 W/kg (body);;;;;;;;;
https://www.gsmarena.com/lg_gt500_puccini-2898.php;https://fdn2.gsmarena.com/vv/bigpic/lg-gt500.jpg;LG GT500 Puccini;Released 2009, July;98g, 12mm thickness;Feature phone;microSDHC slot;9;N/A;430,749 hits;"3.0""";240x400 pixels; ;;;GSM 850 / 900 / 1800 / 1900;;;2009, July. Released 2009, July;Discontinued;107 x 55 x 12 mm (4.21 x 2.17 x 0.47 in);98 g (3.46 oz);Mini-SIM;TFT, 256K colors;3.0 inches, 25.6 cm(~43.5% screen-to-body ratio);240 x 400 pixels, 5:3 ratio (~155 ppi density);A-Class Touch UI;HC (dedicated slot);5 MP, AF;Wi-Fi 802.11b/g;2.0, A2DP;Yes, with A-GPS;Stereo FM radio;2.0;Accelerometer;MP3/MP4 playerOrganizerDocument viewer (Word, Excel, PowerPoint, PDF)Voice memoPredictive text input;Removable Li-Ion battery;Up to 310 h;Up to 3 h 30 min;Black;HSDPA 1900 / 2100;;HSPA 3.6/0.384 Mbps;;;;;;;;LED flash;Yes;Videocall camera;;;About 90 EUR;0.68 W/kg (head)     0.43 W/kg (body);;;;;;;;;;
